2025-03-09 18:16:13,329 INFO    Thread-8 (_run_job):19684 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-09 18:16:13,330 INFO    Thread-8 (_run_job):19684 [wandb_setup.py:_flush():67] Configure stats pid to 19684
2025-03-09 18:16:13,330 INFO    Thread-8 (_run_job):19684 [wandb_setup.py:_flush():67] Loading settings from C:\Users\sudha\.config\wandb\settings
2025-03-09 18:16:13,330 INFO    Thread-8 (_run_job):19684 [wandb_setup.py:_flush():67] Loading settings from C:\Users\sudha\Desktop\My Data\Education\IITM\2nd sem\Intro to DL\Assignments\Deep-Learning-Assignmnent-1-DA24M023\wandb\settings
2025-03-09 18:16:13,330 INFO    Thread-8 (_run_job):19684 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-09 18:16:13,330 INFO    Thread-8 (_run_job):19684 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\sudha\Desktop\My Data\Education\IITM\2nd sem\Intro to DL\Assignments\Deep-Learning-Assignmnent-1-DA24M023\wandb\run-20250309_181613-h8691nvn\logs\debug.log
2025-03-09 18:16:13,331 INFO    Thread-8 (_run_job):19684 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\sudha\Desktop\My Data\Education\IITM\2nd sem\Intro to DL\Assignments\Deep-Learning-Assignmnent-1-DA24M023\wandb\run-20250309_181613-h8691nvn\logs\debug-internal.log
2025-03-09 18:16:13,331 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():761] calling init triggers
2025-03-09 18:16:13,331 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 64, 'beta': 0.9, 'beta1': 0.5, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 5, 'epsilon': 1e-08, 'hidden_layers': 5, 'hidden_size': 256, 'learning_rate': 0.0001, 'loss_fn': 'cross_entropy', 'momentum': 0.9, 'optimizer': 'momentum', 'weight_decay': 0.0005, 'weight_init': 'Xavier'}
config: {'_wandb': {}}
2025-03-09 18:16:13,331 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():784] starting backend
2025-03-09 18:16:13,331 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():788] sending inform_init request
2025-03-09 18:16:13,357 INFO    Thread-8 (_run_job):19684 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-09 18:16:13,358 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():803] backend started and connected
2025-03-09 18:16:13,359 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 64, 'beta': 0.9, 'beta1': 0.5, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 5, 'epsilon': 1e-08, 'hidden_layers': 5, 'hidden_size': 256, 'learning_rate': 0.0001, 'loss_fn': 'cross_entropy', 'momentum': 0.9, 'optimizer': 'momentum', 'weight_decay': 0.0005, 'weight_init': 'Xavier'}
2025-03-09 18:16:13,361 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():896] updated telemetry
2025-03-09 18:16:13,433 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-09 18:16:14,490 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():995] starting run threads in backend
2025-03-09 18:16:14,650 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_console_start():2377] atexit reg
2025-03-09 18:16:14,651 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-09 18:16:14,651 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-09 18:16:14,651 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-09 18:16:14,652 INFO    Thread-8 (_run_job):19684 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-09 18:16:15,171 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_finish():2112] finishing run da24m023-indian-institute-of-technology-madras/fashion-mnist-nn-sweep/h8691nvn
2025-03-09 18:16:15,172 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 1
2025-03-09 18:16:15,172 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_restore():2324] restore
2025-03-09 18:16:15,172 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_restore():2330] restore done
2025-03-09 18:16:18,270 INFO    MsgRouterThr:19684 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-09 18:16:18,270 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-09 18:16:18,270 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-09 18:16:18,270 INFO    Thread-8 (_run_job):19684 [wandb_run.py:_footer_sync_info():3919] logging synced files
