2025-03-07 20:27:40,153 INFO    Thread-571 (_run_job):23936 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_setup.py:_flush():67] Configure stats pid to 23936
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_setup.py:_flush():67] Loading settings from C:\Users\sudha\.config\wandb\settings
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_setup.py:_flush():67] Loading settings from c:\Users\sudha\Desktop\My Data\Education\IITM\2nd sem\Intro to DL\Assignments\Deep-Learning-Assignmnent-1-DA24M023\wandb\settings
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\Users\sudha\Desktop\My Data\Education\IITM\2nd sem\Intro to DL\Assignments\Deep-Learning-Assignmnent-1-DA24M023\wandb\run-20250307_202740-ic8wyr82\logs\debug.log
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\Users\sudha\Desktop\My Data\Education\IITM\2nd sem\Intro to DL\Assignments\Deep-Learning-Assignmnent-1-DA24M023\wandb\run-20250307_202740-ic8wyr82\logs\debug-internal.log
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000017AB016E350>
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():761] calling init triggers
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 64, 'epochs': 10, 'hidden_layers': 5, 'hidden_size': 64, 'learning_rate': 0.001, 'optimizer': 'nesterov', 'weight_decay': 0, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-03-07 20:27:40,154 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():784] starting backend
2025-03-07 20:27:40,155 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():788] sending inform_init request
2025-03-07 20:27:40,156 INFO    Thread-571 (_run_job):23936 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-07 20:27:40,157 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():803] backend started and connected
2025-03-07 20:27:40,158 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 64, 'epochs': 10, 'hidden_layers': 5, 'hidden_size': 64, 'learning_rate': 0.001, 'optimizer': 'nesterov', 'weight_decay': 0, 'weight_init': 'xavier'}
2025-03-07 20:27:40,159 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-07 20:27:40,160 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 897: character maps to <undefined>
2025-03-07 20:27:40,160 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():896] updated telemetry
2025-03-07 20:27:40,227 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-07 20:27:40,737 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():995] starting run threads in backend
2025-03-07 20:27:40,920 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_console_start():2377] atexit reg
2025-03-07 20:27:40,920 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-07 20:27:40,920 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-07 20:27:40,920 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-07 20:27:40,921 INFO    Thread-571 (_run_job):23936 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-07 20:28:14,583 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_finish():2112] finishing run da24m023-indian-institute-of-technology-madras/fashion-mnist-nn/ic8wyr82
2025-03-07 20:28:14,584 ERROR   Thread-571 (_run_job):23936 [jupyter.py:save_history():450] Run pip install nbformat to save notebook history
2025-03-07 20:28:14,584 INFO    Thread-571 (_run_job):23936 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-07 20:28:14,584 INFO    Thread-571 (_run_job):23936 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-07 20:28:14,584 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-07 20:28:14,585 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_restore():2324] restore
2025-03-07 20:28:14,585 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_restore():2330] restore done
2025-03-07 20:28:17,034 INFO    MsgRouterThr:23936 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-07 20:28:17,034 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-07 20:28:17,034 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-07 20:28:17,036 INFO    Thread-571 (_run_job):23936 [wandb_run.py:_footer_sync_info():3919] logging synced files
